"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Bdd","Gen.G","Middle",7,"71%","43%",31,10,43,7.4,"66.1%","27.7%","13.9%","14%",94,169,8,8.3,"22.8%",613,"29.2%","23.5%",0.47,0.26
"Ben","Afreeca Freecs","Support",6,"67%","50%",2,4,50,13,"61.9%","2.4%","10.0%","17%",66,57,-2,1,"2.8%",149,"7.5%","8.5%",1.7,0.23
"BeryL","DAMWON Gaming","Support",6,"100%","33%",13,9,60,8.1,"59.8%","10.7%","31.0%","33%",298,34,4.7,1.7,"5.0%",255,"11.1%","10.9%",1.72,0.63
"Canna","T1","Top",7,"86%","57%",21,9,42,7,"63.0%","21.0%","20.0%","29%",-255,-247,-6.7,8.8,"27.2%",465,"24.6%","23.8%",0.36,0.13
"Canyon","DAMWON Gaming","Jungle",6,"100%","67%",34,5,52,17.2,"70.5%","27.9%","17.2%","50%",614,729,13.7,6.9,"18.6%",429,"18.3%","21.3%",0.46,0.33
"Chovy","DRX","Middle",10,"60%","50%",30,31,43,2.4,"62.9%","25.9%","24.4%","30%",161,67,4.1,9.3,"26.6%",473,"25.9%","25.0%",0.33,0.46
"Clid","Gen.G","Jungle",7,"71%","43%",19,11,65,7.6,"75.0%","17.0%","15.3%","14%",49,-37,-2.9,5.2,"14.3%",260,"12.5%","17.2%",0.59,0.47
"Clozer","T1","Middle",4,"100%","25%",18,4,13,7.8,"47.0%","27.3%","14.8%","0%",244,195,0.5,9,"24.0%",519,"26.9%","22.7%",0.39,0.14
"Cuzz","T1","Jungle",7,"86%","43%",24,7,42,9.4,"66.0%","24.0%","15.6%","29%",15,214,10,6.1,"14.9%",321,"16.5%","18.3%",0.39,0.54
"Deft","DRX","ADC",10,"60%","80%",32,21,35,3.2,"57.8%","27.6%","16.5%","10%",-91,-6,-7.4,8.9,"27.2%",488,"26.3%","24.2%",0.54,0.32
"Doran","DRX","Top",10,"60%","50%",33,33,41,2.2,"63.8%","28.4%","26.0%","40%",77,53,3.1,9.1,"27.5%",484,"27.0%","24.6%",0.46,0.23
"Effort","T1","Support",7,"86%","71%",5,10,61,6.6,"66.0%","5.0%","22.2%","14%",-26,-36,0.1,1.4,"3.2%",132,"6.8%","9.4%",1.96,0.59
"Faker","T1","Middle",3,"67%","33%",4,6,11,2.5,"44.1%","11.8%","33.3%","0%",224,210,10.3,8.5,"19.9%",466,"24.4%","21.1%",0.48,0.22
"Fly","Afreeca Freecs","Middle",6,"67%","67%",20,5,35,11,"65.5%","23.8%","12.5%","50%",78,22,-8.2,8,"19.6%",456,"23.4%","21.3%",0.46,0.14
"Ghost","DAMWON Gaming","ADC",6,"100%","33%",13,5,62,15,"61.5%","10.7%","17.2%","17%",98,247,-3,8.7,"25.0%",378,"16.1%","20.2%",0.47,0.26
"Keria","DRX","Support",10,"60%","30%",4,19,78,4.3,"70.7%","3.4%","15.0%","20%",162,56,6.5,1.8,"5.0%",184,"9.9%","10.0%",1.76,0.33
"Kiin","Afreeca Freecs","Top",6,"67%","50%",23,12,24,3.9,"56.0%","27.4%","30.0%","33%",448,460,6.3,8.6,"26.1%",496,"24.7%","24.9%",0.4,0.13
"Life","Gen.G","Support",7,"71%","71%",6,21,66,3.4,"64.3%","5.4%","29.2%","29%",129,-229,-2.4,1,"2.6%",170,"7.7%","8.3%",1.74,0.41
"Mystic","Afreeca Freecs","ADC",6,"67%","50%",23,10,27,5,"59.5%","27.4%","25.0%","17%",533,472,10.7,9.9,"32.0%",573,"29.5%","26.8%",0.38,0.4
"Nuguri","DAMWON Gaming","Top",6,"100%","33%",28,7,36,9.1,"52.5%","23.0%","24.1%","17%",234,173,8.3,9.4,"29.2%",652,"27.9%","24.5%",0.39,0.2
"Pyosik","DRX","Jungle",10,"60%","50%",17,23,66,3.6,"71.6%","14.7%","18.1%","40%",-132,-206,-4.3,5.4,"13.6%",197,"10.8%","16.2%",0.57,0.44
"Rascal","Gen.G","Top",7,"71%","57%",23,19,46,3.6,"61.6%","20.5%","26.4%","0%",-15,34,1.4,8.8,"27.6%",455,"21.8%","23.5%",0.4,0.26
"Ruler","Gen.G","ADC",7,"71%","29%",33,11,48,7.4,"72.3%","29.5%","15.3%","29%",233,155,8.9,10.3,"32.6%",597,"28.9%","27.6%",0.55,0.39
"ShowMaker","DAMWON Gaming","Middle",6,"100%","100%",34,3,54,29.3,"72.1%","27.9%","10.3%","50%",308,337,8.8,8.7,"22.2%",631,"26.7%","23.2%",0.36,0.17
"Spirit","Afreeca Freecs","Jungle",6,"67%","33%",16,9,39,6.1,"65.5%","19.0%","22.5%","67%",529,321,5.2,5.7,"19.5%",296,"14.9%","18.5%",0.81,0.62
"Teddy","T1","ADC",7,"86%","86%",28,9,41,7.7,"69.0%","28.0%","20.0%","14%",128,-56,6.3,10.7,"32.4%",520,"26.3%","26.4%",0.48,0.39